eng_Latn,tam_Taml
"The child's mother and grandmother were convicted in connection with the case.
","இந்தச் சம்பவம் தொடர்பில் குழந்தையின் தாயும் அவரது தாயாரும் சந்தேகத்தின் பேரில் கைது செய்யப்பட்டுள்ளனர்.
"
"The departure of my grandmother was a huge loss in my life.
","எங்கப்பாவின் மறைவு, என் வாழ்க்கையில பெரிய இழப்பு.
"
"The face of my grandmother!
","தாத்தாவின் முகம் !
"
"The girls' grandmother and mother were also there.
","அம்மாவின் அத்தை,மாமாக்களும் அங்கே.
"
"The grandfather and grandmother died before the death of father.
","அப்பாவுக்குத் திருமணமாகுமுன்பே தாத்தாவின் தங்கையும் தம்பியும் இறந்துவிட்டார்கள்.
"
"The grandfather paradox is a hypothetical situation in which a time traveler goes back in time and attempts to kill his paternal grandfather at a time before his grandfather met his grandmother.
","தாத்தா முரணிலை (Grandfather Paradox) என்பது, ஒரு காலப் பயணி காலத்தில் பின்னோக்கி சென்று அவருடைய தாத்தாவின் திருமணத்திற்கு முன்பாகவே தாத்தாவைக் கொலைசெய்ய முயற்சித்தல் என்ற அனுமான சூழ்நிலையாகும்.
"
"The grandmother did well.
","தாத்தா நன்றாக நடத்தியது.
"
"The grandmother had been watching.
","அண்ணா பார்த்துக்கொண்டே இருந்தார்.
"
"The grandmother is healthy.
","மூதாட்டி ஆரோக்கியமாகதான் உள்ளார்.
"
"The grandmother is my Mama.
","அண்ணா என் தாய்.
"
"The grandmother is wise.
","அண்ணா புத்திசாலி.
"
"The grandmother of one or two children.
","ஒன்று அல்லது இரண்டு குழந்தைகளுக்குத் தாய்.
"
"The grandmother of three said she hopes to spend more time with her family.
","அம்மாவின் மூன்று சகோதரிகள் அவள் குடும்பத்துடன் அதிக நேரத்தை செலவிடுவதை எதிர்பார்த்துக் கொண்டிருப்பதாகக் கூறினார்.
"
"The grandmother said she don't know.
","தனக்குத் தெரியாது என்று அண்ணா சொல்லி விட்டார்.
"
"The grandmother sold them at the market.
","தாய் அவைகளை சந்தையில் விற்று வந்தாள்.
"
"The grandmother stood up.
","தாத்தா எழுந்து நின்றார்.
"
"The grandmother thought for a second.
","தாத்தாஅரை நிமிடம் யோசித்தார்.
"
"The grandmother took the baby to the hospital.
","குழந்தையின் தாயார் பையனை அழைத்துக் கொண்டு ஆஸ்பத்திரிக்குச் சென்றார்.
"
"The grandmother wasn't dead.
","அண்ணா இறந்துவிட வில்லை.
"
"The grandmother's name?
","தாயுமானவரின் தாய் பெயர் ?
"
"The loss of his grandmother has affected him greatly.
","அவரது தாயாரின் மறைவு, அவரை வெகுவாகப் பாதித்தது.
"
"The mother and grandmother know.
","அறிகிறார்கள் தாத்தாவும் அண்ணனும்.
"
"The murdered girl's mother is employed overseas and the girl lived with her grandmother.
","பாதிக்கப்பட்ட சிறுமியின் தாயார் வெளிநாட்டிற்கு வேலைவாய்ப்பு பெற்றுச்சென்றுள்ளதுடன் சிறுமி அம்மம்மாவுடன் வாழ்ந்துவருகின்றார்.
"
"The next day I called my grandmother.
","மறுநாள் தாத்தாவைக் கூப்பிட்டேன்.
"
"The next day, my grandmother asked my mom how the pie was.
","அடுத்த நாள் அம்மா கேட்டாவாம். . கறி வச்சனீங்களோ எப்படி இருந்தது என.
"
"The older daughter is my grandmother.
","அவவின் மூத்த மகள் என்னுடைய தாய்.
"
"The oldest person I know is my grandmother.
","நானறிந்த மூத்த விழுது என் தாத்தாதான்.
"
"The story of grandmother.
","வயதான தாதாவை பற்றிய கதை.
"
"Their eldest daughter was my grandmother.
","அவவின் மூத்த மகள் என்னுடைய தாய்.
"
"Their grandmother had taken over the responsibility of raising the children.
","பிள்ளைகளை வளர்க்கும் பொறுப்பை இவரது அத்தையே மேற்கொண்டார்.
"
"Then he saw his grandmother.
","அப்புறம் தாத்தாவைப் பார்த்தான்.
"
"Then her grandmother [...]
","அதை அடுத்து அவரது தாயாரின் [. . . ]
"
"Then my grandmother used it, then my mother, and now it is mine.
","என் மாமியாரின் அம்மா பயன்படுத்தி, அதற்குப் பிறகு மாமியார், இப்போது நான்.
"
"Then she saw her grandmother.
","அப்புறம் தாத்தாவைப் பார்த்தான்.
"
"There is a possibility of getting benefits from your maternal grandmother.
","உங்கள் தாயிடத்திலுருந்து லாபம் கிடைக்க வாய்ப்புள்ளது.
"
"There isn't anything else we can do for your grandmother.
","இனி உங்கள் பேரப்பிள்ளைக்கு நாங்கள் செய்வதற்கு அதிகமாக ஒன்றும் இல்லை.
"
"There was a young lady there who was with her mother and her grandmother.
","அங்கு ஒரு பெண்குழந்தை அவளின் அம்மாவுடனும் தாத்தாவுடனும் வந்திருந்தாள்.
"
"These are the memories of my grandmother.
","இவை தான் மாமாவின் ஞாபகங்கள்.
"
"They came from my grandmother's home.
","அவர்கள் என் மாமாவின் தம்பி வீட்டில் இருந்துவந்தன.
"
"They're both grandmothers.
","இருவரும் தாதாக்கள்.
"
"This Mother's Day, I am remembering my grandmothers with gratitude.
","இந்த அன்னையர் தினத்தன்று, நான் என் அம்மாவை நன்றியுடன் நினைவு கூர்கிறேன்.
"
"This book was given to me by my grandmother.
","இந்த நூல் எனக்கு என் பெரியப்பா கொடுத்தது.
"
"This house belonged to my grandmother.
","இந்த வீடு எங்க தாத்தா அம்மாக்குக் குடுத்தது.
"
"This is a grandmother's love.
","இது தாத்தாவின் அன்புக்கட்டளை.
"
"This is a story that my grandmother told me.
","இது என் தாத்தா எனக்குச் சொன்ன கதை.
"
"This is indeed a gift from your grandmother.
","நிஜமாகவே இது உங்கள் அம்மா மஞ்சுளாவின் பரிசு தான்.
"
"This is no ordinary grandmother.
","இது சாதாரண வில் அல்ல அண்ணா.
"
"This is not my great grandmother.
","என் பெரியம்மா வீடு இது இல்லை.
"
"This is what happened to my grandmother.
","என் பெரியம்மாவுக்கும் இதுதான் நடந்தது.
"
"This is what happened with my grandmother.
","என் பெரியம்மாவுக்கும் இதுதான் நடந்தது.
"
"This is what their moms and grandmothers did.
","இது தான் மம்மியும், தாத்தாவும் படைத்த சாதனைகள்.
"
"This may be your mother, grandmother, sister, wife, or even your daughter who has children of her own.
","அது உங்கள் தாயோ, சகோதரிகளோ, உங்கள் மனைவியோ, இல்லையேல் உங்கள் அன்பு குழந்தைகளுக்கு கூடவாக இருக்கலாம்.
"
"This movie is for all grandmothers.
","இப்படம் அனைத்து தாய்மார்களுக்கானது.
"
"This story is about the relationship between grandson and grandmother.
","இது தாத்தாவுக்கும் பேரனுக்குமான உறவுக் கதை.
"
"This was bought sometime in the 70's for her grandmother.
","1970 ம் வருடம் இதை தனது பெண்ணுக்காக வாங்கி வந்தாராம்.
"
"This was made by my mother's grandmother.
","இது என் தங்கையின் சின்ன மாமியார் செய்தது.
"
"This was not my grandmother's house.
","என் பெரியம்மா வீடு இது இல்லை.
"
"Today is my grandmother's 101st birthday.
","இன்றைக்கு அண்ணாவின் 110வது பிறந்தநாள்.
"
"Today is my grandmother's 111th birthday.
","இன்று, அண்ணாவின் 111-வது பிறந்த தினம்.
"
"Today would be my grandmother's 110th birthday.
","இன்றைக்கு அண்ணாவின் 110வது பிறந்தநாள்.
"
"Two others, including the girl's grandmother, were injured.
","சிறுமியின் தாய் உள்பட இருவர் பலத்த காயமடைந்தனர்.
"
"We had two grandmothers.
","நமக்கு இரண்டு தாத்தாக்கள் இருந்தார்கள்.
"
"Went to see my grandmother on Sunday.
","ஒரு ஞாயிற்றுக் கிழமையன்று அண்ணாவைப் பார்க்கப் போயிருந்தேன்.
"
"What do you say, grandmother?
","என்ன சொல்றே அண்ணா ?
"
"What is my relationship to my grandmother's sister's nephew's daughter?
","என் தாயின் மூத்த சகோதரியின் மகளின் மகன் எனக்கு என்ன உறவு?
"
"When I was a kid my grandmother hosted a grand lunch every Sunday.
","ஒவ்வொரு ஞாயிற்றுக்கிழமையும், நான் ஒரு குழந்தையாக இருந்தபோது, என் அண்ணா எங்களுக்கு ஒரு பெரிய இரவு உணவை சமைத்திருந்தார்.
"
"When my grandmother died.
","என் அம்மாச்சி இறந்த போது.
"
"Where's my grandmother now?
","'என் அண்ணா இப்போது எங்கே இருக்கிறார்?
"
"Why don't we have a grandmother's day?
","ஏன் மாமியார் தினம் என்று ஒரு நாளை நாம் கொண்டாடுவதில்லை?
"
"Why don't you talk to your grandmother?
","ஏன் நீ உன் அம்மா கிட்ட பேசலையா?
"
"Williams said the grandmother's brother found the body Monday night and called police in Shaw, a tow of about 2,000 people approximately 100 miles (160 kilometers) northwest of Jackson.
","ஜோன்ஸின் சகோதரர் திங்கள்கிழமை இரவு சடலத்தைக் கண்டுபிடித்ததாகவும், ஜாக்சனுக்கு வடமேற்கே சுமார் 100 மைல் தொலைவில் உள்ள சுமார் 2,000 பேர் வசிக்கும் ஷா என்ற இடத்தில் பொலிஸை அழைத்ததாகவும் வில்லியம்ஸ் கூறினார்.
"
"Women whose mothers, sisters or grandmothers had PCOS are at a higher risk for developing PCOS.
","தாய்மார்கள் அல்லது சகோதரிகள் பி. சி. ஓ. எஸ் வைத்திருக்கும் பெண்கள் இந்த நிலையில் பாதிக்கப்படுவதற்கான வாய்ப்புகள் அதிகம்.
"
"Yes, grandmother, I said.
","ஆம் அண்ணா நான் சொன்னேன் .
"
"Yesterday I went to see my grandmother.
","நேற்று தாயை பார்க்க சென்றேன்.
"
"You are a daughter, a wife, a sister, a mother, or a grandmother .
","நீங்கள் ஒரு தாய் உள்ளன, மனைவி, மகள், சகோதரி, அத்தை, grand daughter or grand mother.
"
"You are really a good grandmother.
","உண்மையிலேயே நீங்க ரொம்ப நல்லவங்க ஜீவன் அண்ணா.
"
"You have to be a grandmother.
","மாமியாராக நீங்கள் இருக்க வேண்டும்.
"
"You remember my grandmother.
","உங்களுக்கு உங்கள் அம்மாச்சி ஞாபகம்.
"
"You say you're a grandmother.
","நீங்களோ தாய் மாமா இருப்பதாக சொல்கிறீர்கள்.
"
"You're a good grandmother.:)
","நீங்க ரொம்ப நல்லவரு அண்ணா:)))
"
"Your grandmother doesn't like you?
","உங்கள் மாமியாருக்கு உங்களை பிடிக்கவில்லையா. . ?
"
"Your grandmother reminds me of my mom.
","உங்க பெரியம்மா என் அம்மாவை நினைவுபடுத்துகிறார்.
"
"Your grandmother's situation is very worrisome.
","தாத்தாவின் நிலை மிகவும் கவலைக்கிடமாக உள்ளது.
"
"Your hands remind me of my grandmother.
","உங்கள் கைவேலை என் அம்மாவை ஞாபகப்படுத்துகிறது.
"
"Your post reminded me of my grandmother.
","உங்கள் பதிவு என் பெரியம்மாவை ஞாபகப்படுத்தியது. நன்றி.
"
"Your post reminds me of my grandmother.
","உங்கள் பதிவு என் பெரியம்மாவை ஞாபகப்படுத்தியது. நன்றி.
"
"at your grandmother's home,
","உன்னுடை முதிய அன்னையின் வீட்டில்;
"
"at your grandmother's house,
","உன்னுடை முதிய அன்னையின் வீட்டில்;
"
"go to your grandmother's.
","உங்க அண்ணாவாத்துக்கு போ.
"
"grandmother continued the story.
","தாத்தாவே கதையைத் தொடர்ந்தார்.
"
"grandmother died at the age of 114.
","பெண்மணி 114 வயதில் காலமானார்
"
"grandmother had married as her second husband.
","தாத்தா இரண்டாவதாக திருமணம் பண்ணியிருந்தார்.
"
"grandmother of four girls.
","நாலு பெண் குட்டிகளின் தாயானாய்.
"
"grandmother was born in 1909.
","அண்ணா பிறந்தது 1909ல்!
"
"grandmother's home!
","மாமாவின் வீடு!
"
"grandmother's home.
","தாத்தா வீடு.
"
"grandmother's maiden name?
","தாயுமானவரின் தாய் பெயர் ?
"
"grandmother's seat.
","தாயின் இருக்கை.
"
"i need a job,I need money for treatment of my grandmother.
","எனக்கு வேலை தேவை, அப்பாவின் சிகிச்சைக்கு பணம் தேவை.
"
"my grandfather, my grandmother.
","தாத்தா, என் அண்ணா.
"
"my grandmother and several other relatives.
","என் மாமா, மற்றும் பல உறவினர்கள் உட்பட. .
"
"my grandmother once told me.
","ஒருமுறை என் பெரியம்மா சொன்னார்கள்.
"
"my grandmother tells me a story.
","என் அம்மம்மா ஒரு கதை சொல்வார்.
"
"my grandmother was with me.
","என் மாமியாரும் என்னுடன் இருந்தார்.
"
"or the grandmother.
","அல்லது தாயிக்கா.
"
"the loss of my grandmother,
","மாமாவின் இழப்பு,
"
"the second grandmother.
","இரண்டாவது தாயம்மா.
"
"this time with my grandmother.
","இம்முறை தாத்தாவுடன்.
"
"very close friend of my grandmother.
","என் தாத்தாவின் நெருங்கிய நண்பர்.
"
"with his father, his maternal grandmother, aunts and a great-uncle,
","அவளது அம்மா, அப்பா, அண்ணன், பெரியப்பா,
"
"your mama child reminds me of my grandmother.
","உங்க பெரியம்மா என் அம்மாவை நினைவுபடுத்துகிறார்.
"
"your mother and grandmother are beautiful.
","உங்க அப்பாவும் அம்மாவும் தொப்பில அழகா இருக்காங்க.
"
"""What are you, grandmother!
","''என்ன மாமா நீங்க!
"
"He lived with his mother and grandmother.
","தாயார் மற்றும் தமக்கையுடன் விருதுபட்டியிலே வாழ்ந்தார்.
"
"""My mother, father and grandmother are doctors.
","‘‘என் மகளும் மருமகனும் மருத்துவராக இருக்காங்க.
"
"Are you a mother, father, grandmother or grandfather?
","அப்பா, அம்மா, மாமனார், மாமியார் என்று உங்கள் வீட்டில் பெரியவர்கள் இருக்கிறார்களா. . ?
"
"Both my mother and grandmother are strong influences on me.
","அப்பா, அம்மா இருவருமே என்னிடம் நல்ல தாக்கத்தை ஏற்படுத்தியிருக்கிறார்கள்.
"
"My grandmother told me the story.
","அத்தை உனக்குக்‌ கதை சொன்னாள்‌.
"
"My father and grandmother are from Sri Lanka.
","என் அப்பா அம்மா இருவரும் ஸ்ரீலங்காப் பிரசைகளாகவிருந்து கனடியப் பிரசைகளானவர்கள்.
"
"Then image of my mother and grandmother immediately came to my mind.
","உடனே என் அன்னை நினைவும் தந்தையார் நினைவும் வந்தது.
"
"My grandmother was there.
","அங்க எங்க மாமாவும் இருந்தார்.
"
"His mother and grandmother were wounded.
","அவருடைய தந்தை,தாய் படுகாயம் அடைந்தனர்.
"
"My grandmother has a house there.
","அங்கு என்‌ அத்தை வீடு இருக்‌ றது.
"
"Also my grandmother was with me.
","என் மாமனாரும் என்னுடன் கூட வந்தார்.
"
"After her mother passed away, she was raised by her grandmother.
","தந்தை இறந்த பிறகு, தாய் மாமனிடம் வளர்ந்தார்.
"
"Our parents, sister-brother, uncles-aunts, grandfather, grandmother all are our relatives.
","மாமா, அத்தை, சித்தி, சித்தப்பா, பெரியம்மா, பெரியப்பா, அவர்கள் குழந்தைகள் என்று எல்லோரும் ஒன்றாக வாழ்ந்த வீடு எங்கள் வீடு.
"
"And my mother's and grandmothers!
","எனக்கு ஏகப்பட்ட தாயார்களும், தந்தையர்களும் உண்டே!
"
"Beloved mother, grandmother, sister, aunt and friend.
","அன்பின் அப்பா, அம்மா, அண்ணா,அக்கா, மற்றும் உற்றார், உறவினர்கள், நண்பர்கள்.
"
"And my grandmother was nearly 80.
","எனது அம்மாவுக்கு வயது 80ஐ நெருங்குகிறது.
"
"Beloved mother, grandmother, aunt, cousin, and friend.
","அன்பின் அப்பா, அம்மா, அண்ணா,அக்கா, மற்றும் உற்றார், உறவினர்கள், நண்பர்கள்.
"
"Priyanka is a gutsy lady like her grandmother Indira Gandhi.
","பிரியங்கா காந்தி அன்னை இந்திரா காந்தியைப் போலவே ஈர்ப்பு மிக்க ஆளுமையாகத் திகழ்பவர்.
"
"And I didn't tell my grandmother or my mother.
","நான் உங்களுக்கு அம்மாவைப் பற்றியும் அக்காவைப்பற்றியும் சொல்லவில்லை.
"
"“Like my grandmother!
","""""தாய் போல் பொங்கும் பரிவு!
"
"And what about your grandmother?
","அப்புறம் உன் தாயார் வாணியம்மையின் கதி என்ன?
"
"""My mother, father and grandmother are doctors.
","''அப்பா, அம்மா ரெண்டு பேருமே டாக்டர்.
"
"Before the wedding ceremony, the two sought the blessings of gods and elders of the family, who included Tharoor's 94-year-old maternal grandmother Jayasankari Amma.
","திருமணத்திற்கு முன்பு தரூரின் தாய் வழிப்பட்டியான 94 வயது ஜெயசங்கரி அம்மாவிடமும், குடும்பத்து மூத்தவர்களிடமும் இருவரும் ஆசி பெற்றுக் கொண்டனர்.
"
"Another example is my grandmother.
","மற்றொரு உதாரணம் பெரியம்மை ஆகும்.
"
"My mother, father and my grandmother were with me.
","என்னுடன், என் மகளும் வயதான தாயும் இருந்தார்கள்.
"
"My father passed away when I was a child and I was brought up by my mother & grandmother.
","என்னுடைய சிறு வயதிலேயே அப்பா இறந்து விட, அம்மா தான் என்னையும், அக்காவையும் வளர்த்தார்.
"
"Could be her mother, her grandmother?
","அது அம்மாவாகவோ அக்காவாகவோகூட இருக்கலாம் தானே?
"
"All he had known was his mom and grandmother.
","அது அம்மாக்கும் அக்காக்களுக்கும் மட்டுமே தெரிந்திருந்தது.
"
"Be it your mother, your grandmother, your sister, whatever female you have in your life.
","உங்க வீட்டுல உங்க அம்மா , தங்கை , அக்காள் , மனைவி யாராச்சும் இருந்தா அவங்க எல்லாரும் பெண்கள் தானே . .
"
"According to a report by the news agency ANI , Vivaan, a student of Bal Bharati Public School in the Pitampura area of northwest Delhi, got inspired by his grandmother who would recite the shlokas as a ritual.
","செய்தி நிறுவனமான ஏ. என். ஐ வெளியிட்ட அறிக்கையின்படி, வடமேற்கு டெல்லியின் பிதாம்புரா பகுதியில் உள்ள பால் பாரதி பப்ளிக் பள்ளியில் விவான் படித்து வருகிறார்.
"
"Are you a mother, a sister, a wife, a grandmother?
","நானும் ஒரு இல்லத்தரசி, ஒரு மனைவி, ஒரு தாய், ஒரு மகள், ஒரு சகோதரி புரியுதாடா?
"
"And your mother and grandmother said nothing?
","உங்க அம்மாவும் அப்பாவும் ஒன்றும் சொல்லவில்லையா?
"
"A father, mother, son, daughter and grandmother are all compairing ages.
","அம்மா, அப்பா, மாமனார், மாமியார் எல்லாரும் வயசானவங்க.
"
"Aunt lived with grandmother.
","மாமியார் சின்னபொண்ணுடன் ஒன்றாகவே வசித்து வந்தார்.
"
"Your mother, sister, wife, grandmother, aunts, daughter, friends. . .
","அம்மா,மாமாமார்,மச்சான்,நண்பர்,மகள்,அக்கா…இன்னும் எத்தனை, எத்தனைப் பேர்களோ. . ?
"
"Both of his grandmothers live here in town.
","அவளின் அப்பாவின் இரண்டு அண்ணன்மார்கள் ஊரில் வாழ்கிறார்கள்.
"
