eng_Latn,ben_Beng
"Tulip, Sheikh Rehana’s daughter and Prime Minister Sheikh Hasina niece, retained her Hampstead and Kilburn seat with a margin of 15,560 votes.
","শেখ রেহানার কন্যা এবং প্রধানমন্ত্রী শেখ হাসিনার ভাগ্নে টিউলিপ তার হ্যাম্পস্টিড এবং কিলবুর্ন আসনে ১৫,৫৬০ ভোটের ব্যবধানে পুনর্নির্বাচিত হয়েছেন।
"
"And your niece and I love you dearly.
","আর আপনি আর চানাচুর আপু আমার ভীষন প্রিয় ।
"
"” That’s what my niece says.
","""কথাটা বলল আমার ভাইঝি রীণা।
"
"One of them was his niece’s girls, and two of them were mother’s girls.
","দুই মহিলার মধ্যে একজন ছিলেন তাঁর প্রেমিক ও অন্যজন তাঁর বাবা-মায়ের পছন্দ করা পাত্রী।
"
"‘Ali took her hand and said to Fatimah, ‘Here is your niece,’ and Fatimah took care of her.
","হযরত আলী মেয়েটির হাত ধরে ফাতেমাকে দিলেন এবং বললেন, “নাও, তোমার চাচাতো বোন ৷’ হযরত ফাতেমা তাকে কোলে তুলে নিলেন।
"
"He married his wife's niece.
","কন্যার রূপমুগ্ধ হয়ে তাকে বিবাহ করেন।
"
"The video shows Salman Khan showering kisses to his baby niece Ayat.
","ভিডিওতে দেখা যাচ্ছে, আদুরে ওই কন্যার গালে চুমু দিচ্ছেন সালমান খান।
"
"Abhishek’s niece Navya Naveli Nanda was also in New York at the time.
","এই সময়ে ভগিনী নিবেদিতাও নিউ ইয়র্কে ছিলেন।
"
"Is my niece alive or is she dead?
","মামাত ভাই বেঁচে থাকলেই বা কি, মরে গেলেই বা কি?
"
"This is my niece.
","অপত্য আমার এই কন্য।
"
"She was his wife's niece.
","এই স্ত্রীটি তাহার ভৃতীয় পক্ষের স্ত্রী ছিল।
"
"Nawazuddin Siddiqui’s niece has filed a sexual harassment complaint against his brother at the Jamia police station in Delhi, according to a report by Times of India.
","নওয়াজের ভাইয়ের বিরুদ্ধে দিল্লির জামিয়া পুলিশ স্টেশনে অভিযোগ দায়ের করেছে তাঁর ভাইঝি,খবর টাইমস অফ ইন্ডিয়া সূত্রে।
"
"My niece is there.
","সেখানে আমার ভাঁইপো থাকে ।
"
"Currently, he has four nephews and four nieces.
","বর্তমানে তাঁর চার সন্তান ও ছয় নাতি-নাতনি রয়েছে।
"
"She is the niece of Bollywood actor Govinda.
","টিনা হচ্ছেন বলিউড তারকা গোবিন্দর মেয়ে।
"
"Grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-laws and sisters-in-law, fiancees or other extended family members are not considered to be close relationships.
","দাদা-দাদি অথবা নানা-নানি, খালা-চাচি-মামি-ফুপু, চাচা-খালা-মামা-ফুপা, ভাতিজা এবং ভাগনেকে ঘনিষ্ঠ স্বজন হিসেবে বিবেচনা করা হবে না।
"
"This is my niece.
","এই আমার ত্রাতা গিডো।
"
"Meezaan Jaaferi made his Bollywood debut with the film Malaal, which also starred Sanjay Leela Bhansali's niece Sharmin Segal.
","‘মালাল’ সিনেমায় সঞ্জয় লীলা বানসালির ভাইঝি শারমিন সিগালের সঙ্গে জুটি বেঁধেছেন মিজান জাফেরি।
"
"He loves his sister and his nieces.
","বোনরা আর ছোটভাইটিও খুব ভালোবাসে তাকে।
"
"Also survived by several great grandchildren and nieces and nephews.
","এ ছাড়া বহু নাতি-নাতনি ও অসংখ্য গুণগ্রাহী রেখে গেছেন।
"
"Also, many aunts, uncles, nieces, nephews and cousins.
","বোন, ভাতিজি, ভাগ্নে ও ভাগ্নি জামাইসহ অনেকে আছেন।
"
"Another niece is getting married.
","আরেক বোনেরও বিয়ের কথা চলছে।
"
"Actor Kunal Kapoor is dating Amitabh Bachchan's niece Naina Bachchan.
","অনেকটা চুপিসারে বিয়ে বন্ধনে আবদ্ধ হন বলিউড অভিনেতা কুনাল কাপুর ও অমিতাভ বচ্চনের ভাইয়ের মেয়ে ন্যায়না বচ্চন।
"
"Where is my little niece?
","কই, আমার ছোট বোনটি কোথায়?
"
"Trump sues niece and New York Times over tax story
","ভাইঝি এবং নিউ ইয়র্ক টাইমসের বিরুদ্ধে মামলা দায়ের ট্রাম্পের
"
"Besides her husband, five sisters, three brothers and five nieces preceded her in death.
","মরহুম তার সংসারে তিন ভাই, পাঁচ বোন ও স্ত্রী সহ অসংখ্য শুভাকাঙ্খী রেখে গেছেন।
"
"Congrats on your niece!
","তোমার আন্টির পক্ষ থেকে অভিনন্দন!
"
"My niece is there.
","সেখানে আমার শ্বাশুড়ি আছেন ।
"
"And he has a niece.
","এবং তাঁর আছে কাকাবাবু।
"
"An aunt and cousin and niece.
","ঘৰত মাক-দেউতাক আৰু ভাতৃ-ভগ্নী।
"
"She is his niece.
","সে তার প্রেতাত্মা ৷
"
"Actor Anupam Kher's mother, brother, sister-in-law and niece have also contracted the virus.
","অনুপম খেরের মায়ে পাশাপাশি অভিনেতার, ভাই এবং তাঁর পরিবারও করোনায় আক্রান্ত হন বলে জানা যায়।
"
"American lawyer Meena Harris, the niece of Vice-President Kamala Harris, has shared a photo of a protest against her over her posts in support of the farmers' agitation.
","মার্কিন ভাইস প্রেসিডেন্ট কমলা হ্যারিসের ভাইঝি মীনা হ্যারিসও কৃষকদের সমর্থনে পোস্ট করেছেন।
"
"Also survived by numerous nieces, nephews and devoted friends.
","রেখে গেছেন নাতি-নাতনিসহ অসংখ্য বন্ধু-স্বজন ও গুণগ্রাহী।
"
"Also many aunts, uncles, nephews, nieces and cousins.
","বোন, ভাতিজি, ভাগ্নে ও ভাগ্নি জামাইসহ অনেকে আছেন।
"
"Could she be a niece?
","সে কি মাধবীলতা হতে পারবে?
"
"Actor Nawazuddin Siddiqui’s niece has filed a sexual harassment case against a man she has identified as her uncle in her police complaint.
","রিপোর্টে প্রকাশ, নওয়াজউদ্দিন সিদ্দিকির ভাইজি এবার যৌন হেনস্থার অভিযোগ দায়ের করলেন অভিনেতার ভাইয়ের বিরুদ্ধে।
"
"Similarly, a man cannot be married to a woman and her niece or aunt at the same time.
","অনুরূপভাবে কোন নারী ও তার খালা এবং কোন খালা ও তার ভাগ্নীকে একত্রে বিয়ে করা যাবে না।
"
"She was his wife’s niece.
","সে তার স্বামীর যোগ্য সহধর্মিণী ছিল।
"
"A journalist was shot because he filed a complaint with the police regarding the molestation of his niece.
","একজন সাংবাদিককে গুলি করা হল কারণ সে তার ভাইঝিকে হেনস্থা করার অভিযোগ জানিয়েছিল।
"
"She is the president’s niece.
","তিনি প্রেসিডেন্টের মেয়ে!
"
"As well as numerous uncles, aunts, nieces, nephews and cousins.
","বোন, ভাতিজি, ভাগ্নে ও ভাগ্নি জামাইসহ অনেকে আছেন।
"
"This is my niece.
","এটি আমার ভাগ্নে স্ুনন্দ।
"
"The family includes many relatives, such as grandparents, un- cles, aunts, cousins, nephews, and nieces.
","একটি পরিবারকে ঘিরে থাকে বাবা, মা, ভাই, বোন, ভাতিজা সহ অনেকেই।
"
"It's my little niece.
","এ আমার ছোট ননদ সরমা।
"
"Actresses Karisma Kapoor and Kareena Kapoor are his nieces.
","কারিশমা কাপুর ও কারিনা কাপুর।
"
"She is also the niece of actor Anil Kapoor.
","একেতো অনিল কাপুরের মেয়ে, তার উপর বলিউডের প্রতিষ্ঠিত অভিনেত্রীও তিনি।
"
"your niece
","তোমার উত্তরসুরি
"
"A lot of best wishes for you my sweet niece.
","আপনার জন্য অনেক অনেক শুভ কামনা থাকলো প্রিয় আপু।
"
"A niece has done the same thing.
","একজন বোন এমনটাই করেছিলেন।
"
"A niece of my friend.
","আমার এক বন্ধুর বোন।
"
"At her time of death she left several nieces & nephews.
","মৃত্যুকালে তিনি এমাত্র কন্যা ও অসংখ্য আত্মিয়, গুনগ্রাহী রেখে গেছেন।
"
